City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,23.18,73,18,6.33,PF,1670086083
1,lorengau,-2.0226,147.2712,27.39,78,100,3.27,PG,1670086084
2,kalmunai,7.4167,81.8167,25.7,84,96,2.06,LK,1670086084
3,punta arenas,-53.15,-70.9167,10.06,50,20,12.35,CL,1670086084
4,vaini,-21.2,-175.2,25.09,88,75,3.09,TO,1670086085
5,gwadar,25.1216,62.3254,24.49,36,0,3.64,PK,1670086085
6,hobart,-42.8794,147.3294,13.92,94,100,0.0,AU,1670085903
7,saint-philippe,-21.3585,55.7679,25.77,74,48,1.68,RE,1670086085
8,touros,-5.1989,-35.4608,29.13,63,8,7.7,BR,1670085904
9,busselton,-33.65,115.3333,16.92,74,49,6.95,AU,1670086086
10,atakpame,7.5333,1.1333,30.37,45,63,2.6,TG,1670086086
11,hermanus,-34.4187,19.2345,17.67,59,31,5.52,ZA,1670086087
12,mollendo,-17.0231,-72.0147,22.24,70,31,4.82,PE,1670086087
13,alvorada,-12.48,-49.1247,30.13,56,99,3.26,BR,1670086088
14,chuy,-33.6971,-53.4616,20.59,80,100,2.88,UY,1670086088
15,portland,45.5234,-122.6762,3.68,63,40,6.71,US,1670085798
16,zuwarah,32.9312,12.082,20.62,40,3,1.02,LY,1670086088
17,hilo,19.7297,-155.09,23.49,93,100,0.45,US,1670086089
18,avarua,-21.2078,-159.775,26.03,94,75,4.12,CK,1670086089
19,vila velha,-20.3297,-40.2925,21.97,98,100,2.06,BR,1670085804
20,husavik,66.0449,-17.3389,1.92,83,100,2.77,IS,1670085863
21,amga,60.8953,131.9608,-28.52,100,100,0.17,RU,1670086090
22,albany,42.6001,-73.9662,9.85,91,100,0.45,US,1670085967
23,puro,12.4841,123.3827,26.1,87,33,3.9,PH,1670085892
24,codrington,-38.2667,141.9667,15.1,79,0,3.33,AU,1670086091
25,grindavik,63.8424,-22.4338,2.26,100,0,2.06,IS,1670086091
26,bluff,-46.6,168.3333,10.45,69,100,10.18,NZ,1670086091
27,nikolskoye,59.7035,30.7861,-4.06,91,100,3.15,RU,1670086092
28,namatanai,-3.6667,152.4333,25.78,82,100,2.86,PG,1670086092
29,sistranda,63.7256,8.834,-1.02,60,74,2.01,NO,1670086092
30,port alfred,-33.5906,26.891,17.88,82,74,0.89,ZA,1670086093
31,markova,48.6758,24.4138,-0.96,98,97,1.31,UA,1670086093
32,aden,12.7794,45.0367,26.19,71,7,4.86,YE,1670086093
33,east london,-33.0153,27.9116,19.52,77,0,5.66,ZA,1670086094
34,sisimiut,66.9395,-53.6735,-3.57,69,100,12.04,GL,1670085909
35,seoul,37.5683,126.9778,-0.34,62,0,5.14,KR,1670085713
36,luderitz,-26.6481,15.1594,19.73,55,3,11.42,NA,1670086094
37,qaanaaq,77.484,-69.3632,-12.62,67,97,5.6,GL,1670086095
38,souillac,-20.5167,57.5167,25.21,69,20,1.54,MU,1670086095
39,shubarshi,48.5872,57.1869,-12.5,73,20,6.36,KZ,1670086095
40,butaritari,3.0707,172.7902,27.39,76,8,8.06,KI,1670086096
41,atuona,-9.8,-139.0333,25.72,69,84,9.46,PF,1670086096
42,bredasdorp,-34.5322,20.0403,16.83,53,76,4.94,ZA,1670086096
43,castro,-24.7911,-50.0119,24.14,76,100,1.99,BR,1670086097
44,cape town,-33.9258,18.4232,19.59,55,20,12.35,ZA,1670085925
45,jamestown,42.097,-79.2353,8.8,67,100,11.83,US,1670086097
46,kutahya,39.4242,29.9833,5.81,93,77,2.06,TR,1670086098
47,kapaa,22.0752,-159.319,24.18,88,40,5.66,US,1670085894
48,umm lajj,25.0213,37.2685,25.54,67,55,4.51,SA,1670086053
49,clyde river,70.4692,-68.5914,-15.87,66,52,7.2,CA,1670086098
50,port blair,11.6667,92.75,28.02,83,40,3.09,IN,1670086099
51,karratha,-20.7377,116.8463,27.99,58,0,6.04,AU,1670086099
52,sabzevar,36.2126,57.6819,10.6,54,40,0.0,IR,1670086099
